"Source:","E:\toni\ARHIVA PC\Robotica\KICAD\USB_MASS_STORAGE_DEVICE\USB_MASS_STORAGE_DEVICE.kicad_sch"
"Date:","25/08/2023 21:00:24"
"Tool:","Eeschema (6.0.5)"
"Generator:","E:\toni\Apps\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","32"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet_1","Footprint_1","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Value_1"
"5","1","C12","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"6","1","C19","220nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"7","1","D1","RED","Device:LED","LED_SMD:LED_PLCC_2835","~","","","","","","","","",""
"8","1","D2","GREEN","Device:LED","LED_SMD:LED_PLCC_2835","~","","","","","","","","",""
"9","1","D3","YELLOW","Device:LED","LED_SMD:LED_PLCC_2835","~","","","","","","","","",""
"10","1","f1","ST72681_R21","ST72681:ST72681_R21","ST72681_R21:QFP50P900X900X160-48N","","https://www.st.com/resource/en/datasheet/cd00055081.pdf","QFP50P900X900X160-48N","1.6","STMicroelectronics","ST72681/R21","N/A","https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA","IC","ST72681_R21"
"11","1","J1","USB_A","Connector:USB_A","Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal"," ~","","","","","","","","",""
"12","2","m1, m2","K9GAG08U0E","K9GAG08U0E:K9GAG08U0E","K9GAG08U0E:SOP50P2000X120-48N","","https://pdf1.alldatasheet.com/datasheet-pdf/view/1134995/SAMSUNG/K9GAG08U0E.html","SOP50P2000X120-48N","1.2","SAMSUNG","K9GAG08U0E","","","IC","K9GAG08U0E"
"13","3","R1, R2, R7","220R","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","",""
"14","1","R3","10K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","",""
"15","1","R4","11.3R","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","",""
"16","1","R5","4.7K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","",""
"17","1","SW1","MSK12C02","MSK12C02:MSK12C02","MSK12C02:MSK12C02","","https://shouhan.en.made-in-china.com/product/xsMEmqgOAXWB/China-Slide-Switch-Msk12c02-Slide-Switch-on-off-2-Position-1p2t-Spdt-Miniature-Horizontal-SMD-7p-Slide-Switch.html","MSK12C02","1.4","Shou Han","MSK12C02","","","S","MSK12C02"
"18","1","U1","LD3985M33R_SOT23","Regulator_Linear:LD3985M33R_SOT23","Package_TO_SOT_SMD:SOT-23-5","http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00003395.pdf","","","","","","","","",""
"19","1","Y2","12MHZ","Device:Crystal_GND3","Crystal:Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm","~","","","","","","","","",""
